strategy,start_date,end_date,n_days,total_return,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,calmar,features,n_features,average_weight,hmm_log_likelihood
returns_only,2021-01-05,2025-12-30,1253,0.26118226018774005,0.046669189830794496,0.10429594697500713,0.4474688728026798,0.5474530516495414,-0.12513270651733122,0.37295756744725,Log_Return,1,0.7037640087108143,-1553.3446200737183
returns_volume,2021-01-05,2025-12-30,1253,-0.0534488156959505,-0.011047421030762386,0.0717456312303526,-0.15398040049703657,-0.14131031057149543,-0.17751061593726025,-0.06223526954955196,"Log_Return, Volume",2,0.3361273708939859,-2998.8225607302625
returns_volatility,2021-01-05,2025-12-30,1253,0.22153094560623754,0.04035352255890138,0.07316307240147488,0.5515558769520442,0.5861319576977879,-0.085434954807591,0.47233035529523004,"Log_Return, Volatility",2,0.4497864368581623,-1857.3014980917033
all_features,2021-01-05,2025-12-30,1253,0.21570136217715752,0.03908135123133142,0.09052573178098076,0.43171538591795533,0.5610772205345878,-0.15106992570413058,0.2586970970507524,"Log_Return, Volume, Volatility",3,0.6110201397806739,-3497.477145649072
