strategy,start_date,end_date,n_days,total_return,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,calmar,average_weight
HMM Belief-State,2021-01-05,2025-12-30,1253,0.215701362177938,0.03908135123146052,0.09052573178100372,0.43171538591927194,0.5610772205363961,-0.15106992570406752,0.2586970970517149,0.6110201397809294
DBN Belief-State,2021-01-05,2025-12-30,1253,0.21490093720823267,0.03963973847374592,0.0905159791659702,0.4379308365107829,0.5687648415247524,-0.1510699257040674,0.2623933141490825,0.6111624029946814
