state,n_days,state_frequency,mean_real_log_return,annualized_mean_return,annualized_volatility
0,60,0.039735099337748346,-0.002812202803059943,-0.7086751063711056,0.6471383977046274
1,473,0.3132450331125828,0.0002720756707348412,0.06856306902517997,0.2068502190808957
2,977,0.6470198675496689,0.0006566855695492677,0.16548476352641547,0.09058292373750389
