Date,state_0_prob,state_1_prob,state_2_prob,most_likely_state,entropy
2021-01-04,0.002672792473362037,0.9924911437920223,0.004836063734615362,state_1,0.049100123717346754
2021-01-05,0.0010660778854502022,0.755745969676112,0.24318795243843777,state_1,0.5627911051243834
2021-01-06,0.09013793637389313,0.9017758106992104,0.008086252926895954,state_1,0.34909945882301835
2021-01-07,0.03593045979802053,0.9592839646741469,0.004785575527832874,state_1,0.1849517236036559
2021-01-08,0.003637862147752771,0.8661691248887732,0.13019301296347394,state_1,0.4103078121897398
2021-01-11,0.00023878209488316983,0.48725517655023576,0.5125060413548811,state_2,0.6948929427867134
2021-01-12,0.0004943596905764481,0.2577104385091796,0.7417952018002437,state_2,0.5747585149985079
2021-01-13,4.227909352811607e-05,0.03274561011994976,0.9672121107865224,state_2,0.144626989953754
2021-01-14,0.0007228098058193926,0.024563363716622072,0.9747138264775587,state_2,0.12123546155253197
2021-01-15,0.00430513329009853,0.07929057936243679,0.916404287347465,state_2,0.30442683278563626
2021-01-19,0.0011697048585721213,0.06095674021523513,0.9378735549261931,state_2,0.23858404313467407
2021-01-20,0.0004768649611657491,0.08045614099313149,0.9190669940457027,state_2,0.28396595378066725
2021-01-21,1.833231275490891e-05,0.010512623672919389,0.9894690440143257,state_2,0.058562134709910126
2021-01-22,0.00045083911794506997,0.01654173062597764,0.9830074302560774,state_2,0.08817282758753914
2021-01-25,0.9572931350953696,0.04265198932473538,5.487557989583685e-05,state_0,0.17687344974361402
2021-01-26,0.947327895548691,0.05249798362598624,0.0001741208253225333,state_0,0.20747759478853528
2021-01-27,0.9999999996229043,3.7709604511832636e-10,2.306979211952945e-32,state_0,8.55952221712498e-09
2021-01-28,0.9968329270583007,0.003167072111906369,8.297931049680408e-10,state_0,0.021388404313012015
2021-01-29,0.979222527205288,0.020777472400873354,3.938382437752527e-10,state_0,0.1010496770947566
2021-02-01,0.47881450844549833,0.5211780151738262,7.4763806751212684e-06,state_1,0.6923401154354409
2021-02-02,0.0974068078614072,0.9025883737740295,4.818364563213767e-06,state_1,0.3194108140190205
2021-02-03,0.0013552352469795733,0.9983764510849816,0.0002683136680386284,state_1,0.012778344208247005
2021-02-04,0.0002604127992174858,0.9996976613338637,4.192586691880867e-05,state_1,0.002874139224064027
2021-02-05,0.00018848234216571787,0.9995032895736992,0.00030822808413523374,state_1,0.004605029531316097
2021-02-08,0.00012597959429469396,0.9995256500083838,0.000348370397321457,state_1,0.004379267661275244
2021-02-09,8.5749327410925e-05,0.9989895878925588,0.0009246627800302608,state_1,0.008272634723689633
2021-02-10,0.0001563240629139595,0.9993600436874127,0.00048363224967330396,state_1,0.005701848262052234
2021-02-11,9.350830704278428e-05,0.999000046078436,0.0009064456145212508,state_1,0.008217512820858851
2021-02-12,4.188900938237927e-05,0.9978786754351142,0.00207943555550334,state_1,0.015383219046591227
2021-02-16,0.00028796799840978966,0.9993032111563828,0.00040882084520726134,state_1,0.006233967263424709
2021-02-17,0.00013723095045781232,0.9986708957831116,0.00119187326643064,state_1,0.01057269521915009
2021-02-18,0.00017373441605987849,0.9984370717981713,0.0013891937857690255,state_1,0.012205445741814896
2021-02-19,0.00019463337361981257,0.998308249433742,0.0014971171926380295,state_1,0.013090913206852486
2021-02-22,0.003839090054498399,0.9961526159153314,8.294030170514301e-06,state_1,0.025292028181386626
2021-02-23,0.018676209484009974,0.9813216098238031,2.1806921867745345e-06,state_1,0.09287202113112303
2021-02-24,0.02040457550766797,0.9795940645019008,1.3599904316784662e-06,state_1,0.09962920296113482
2021-02-25,0.19294313121249745,0.807056868589596,1.9790656373157058e-10,state_1,0.4904625080327464
2021-02-26,0.36283710712387246,0.6371624586400055,4.342361217197388e-07,state_1,0.655039716548005
2021-03-01,0.086694509066145,0.9133043991542058,1.0917796487968845e-06,state_1,0.2948386494229666
2021-03-02,0.009843620029341365,0.9900921728729413,6.420709771709119e-05,state_1,0.0559650945843092
2021-03-03,0.018892244478946534,0.9811071125594201,6.429616332944858e-07,state_1,0.09370583884812567
2021-03-04,0.5371984523077967,0.46280154748759994,2.0460260112827735e-10,state_0,0.6903771768685389
2021-03-05,0.9661822072331657,0.0338177927573359,9.498747580153159e-12,state_0,0.14777243945832372
2021-03-08,0.5485153028858687,0.45146795450464583,1.674260948545618e-05,state_0,0.688619852707261
2021-03-09,0.11105810661861981,0.8889397216627998,2.171718580572538e-06,state_1,0.3487520971206467
2021-03-10,0.023656950131838116,0.9763418273214982,1.2225466638364687e-06,state_1,0.11196667667775567
2021-03-11,0.0016694967082615962,0.9983278103300814,2.692961657111181e-06,state_1,0.012382148220633212
2021-03-12,6.340671259349037e-05,0.9998365143851324,0.00010007890227394566,state_1,0.0016980396028220216
2021-03-15,0.0001670726576378596,0.9998121776773635,2.0749664998501073e-05,state_1,0.0018645924791554876
2021-03-16,7.392483110137127e-05,0.9998636592605388,6.241590835964396e-05,state_1,0.0014438300739738692
2021-03-17,6.93106197051057e-05,0.9998618593761448,6.883000414984025e-05,state_1,0.0014615706837840827
2021-03-18,0.00035145591795067145,0.9996482382938622,3.0578818720019494e-07,state_1,0.0031515654967579063
2021-03-19,0.7598131656299493,0.2401868343697835,2.6641995973837424e-13,state_0,0.5512951925733914
2021-03-22,0.008011420097649088,0.9918199726448378,0.0001686072575133299,state_1,0.0482815502779274
2021-03-23,0.0001382029914434237,0.9998547829711198,7.014037436944468e-06,state_1,0.0014566268023779737
2021-03-24,0.00010678072097798423,0.9998805204304154,1.2698848606357183e-05,state_1,0.0012391204413083879
2021-03-25,0.0002276638343914697,0.9995803898173884,0.00019194634821991245,state_1,0.003971817922418249
2021-03-26,0.0019847695907289184,0.9980146475208622,5.828884086437049e-07,state_1,0.014341485324094377
2021-03-29,0.00013329145176688059,0.9973833294124168,0.0024833791358162874,state_1,0.018698243608476814
2021-03-30,4.558503521689008e-05,0.9913282001579727,0.00862621480681022,state_1,0.050089718665390595
2021-03-31,0.00015582331476338542,0.9863029062629948,0.01354127042224182,state_1,0.07322365118454909
2021-04-01,0.00013540057605246111,0.9774720439694449,0.022392555454502663,state_1,0.1085482407619573
2021-04-05,0.0001572711157396902,0.9676501107828999,0.03219261810136061,state_1,0.14381262264130357
2021-04-06,6.684342875520659e-05,0.7223562066154605,0.27757694995578425,state_1,0.591337935443038
2021-04-07,2.5017336900490755e-05,0.17064546593070046,0.829329516732399,state_2,0.4571936248018345
2021-04-08,3.4559759139700452e-06,0.013637405688850142,0.986359138335236,state_2,0.07216268288493514
2021-04-09,1.8049009188585122e-06,0.001387891498771113,0.9986103036003101,state_2,0.010544884004788504
2021-04-12,7.50438830243218e-07,0.00038738135711141873,0.9996118682040583,state_2,0.0034419466478221076
2021-04-13,1.108661742991493e-06,0.00036810372914420475,0.9996307876091128,state_2,0.0032949964401339446
2021-04-14,2.911293442932201e-06,0.0007510667762127471,0.9992460219303444,state_2,0.006193990161687778
2021-04-15,1.6833166319057796e-05,0.002796173443583817,0.9971869933900972,state_2,0.01943419057464928
2021-04-16,3.0971372601643583e-06,0.00034921233684141517,0.9996476905258984,state_2,0.003171205668982755
2021-04-19,1.466048067633745e-06,0.0003335031742587697,0.9996650307776735,state_2,0.003024585563752204
2021-04-20,1.3526355592442263e-05,0.001370264947218777,0.9986162086971887,state_2,0.010568291470809787
2021-04-21,3.6466772803742165e-06,0.0005279905972375346,0.9994683627254821,state_2,0.004561603690246903
2021-04-22,1.7241748846050154e-05,0.0020996399630597014,0.9978831182880942,state_2,0.015250107831559388
2021-04-23,3.21011892646623e-06,0.0010346450058922178,0.9989621448751811,state_2,0.008189757981552886
2021-04-26,7.13439717789253e-07,0.00016118126987119935,0.9998381052904111,state_2,0.0015795719915352186
2021-04-27,6.310120971285836e-07,0.0001430916572896526,0.9998562773306132,state_2,0.0014193715845029799
2021-04-28,7.608694630647312e-07,0.00014498447152650417,0.9998542546590105,state_2,0.0014379553735610257
2021-04-29,8.602037536925711e-06,0.0004948481821681952,0.999496549780295,state_2,0.004370071380677737
2021-04-30,1.0274404935933778e-05,0.0008418045887979885,0.9991479210062661,state_2,0.006929671241317294
2021-05-03,1.7575667679155786e-06,0.00012877471960784896,0.9998694677136242,state_2,0.0013073069058797343
2021-05-04,1.5780359976201606e-05,0.000679142093002646,0.999305077547021,state_2,0.00582328471381934
2021-05-05,3.081034513892799e-06,0.00020985761632153705,0.9997870613491646,state_2,0.0020293162697923475
2021-05-06,2.9788156206047253e-05,0.0008330825031977906,0.9991371293405963,state_2,0.007079802311729237
2021-05-07,3.0323118019218405e-06,0.00026428876429056156,0.9997326789239075,state_2,0.0024831490511771125
2021-05-10,8.390755326771697e-05,0.004239342165515868,0.9956767502812166,state_2,0.028262428094236167
2021-05-11,0.0002812069230039069,0.01225126487193087,0.9874675282050648,state_2,0.0686844888403698
2021-05-12,0.010078310103773146,0.9312769407091487,0.05864474918707907,state_1,0.27897090735504476
2021-05-13,0.000920237982419073,0.9898258519564389,0.009253910061141641,state_1,0.059888855588661416
2021-05-14,0.00010004674736305629,0.996845613881186,0.003054339371451023,state_1,0.021759089236661738
2021-05-17,5.282002692271642e-05,0.9802620614406857,0.019685118532391414,state_1,0.09738308158680532
2021-05-18,9.596492929216215e-05,0.9929881308375046,0.00691590423320344,state_1,0.04227428487469989
2021-05-19,7.062475394072508e-05,0.9761397350508395,0.023789640195219734,state_1,0.11318604870064736
2021-05-20,6.614186672978765e-05,0.9796497386052396,0.020284119528030473,state_1,0.09984411989195167
2021-05-21,4.729110239726416e-05,0.9148544649236513,0.08509824397395147,state_1,0.2915618597830836
2021-05-24,3.860889741407106e-05,0.9160359237293999,0.08392546737318604,state_1,0.28868113682153984
2021-05-25,5.823409004725135e-05,0.9032084197560565,0.09673334615389619,state_1,0.31846568483807175
2021-05-26,0.00010034285196607426,0.9212879436704139,0.0786117134776199,state_1,0.27638150151834623
2021-05-27,0.03475579029800982,0.9652201245261801,2.4085175810393723e-05,state_1,0.15118295688092373
2021-05-28,0.0006758643872850468,0.9852185091773992,0.014105626435315637,state_1,0.07971182137551139
2021-06-01,0.0005512852615886839,0.9933409541754239,0.006107760562987466,state_1,0.0419118155731779
2021-06-02,0.005774789728387424,0.9939865115466322,0.0002386987249799806,state_1,0.03775092183953679
2021-06-03,0.0032134780309784187,0.9963098583393928,0.00047666362962856364,state_1,0.025775835443840812
2021-06-04,0.00011608613929517159,0.9785035785814614,0.021380335279243427,state_1,0.10452903150440006
2021-06-07,0.00013603188328265006,0.9465468767804229,0.053317091336294545,state_1,0.2095083522653503
2021-06-08,0.0002388823265460485,0.9001867504905383,0.0995743671829157,state_1,0.32635271818228584
2021-06-09,0.0002840466635759235,0.8235513420887981,0.17616461124762609,state_1,0.4680761785428711
2021-06-10,0.00010420998097573192,0.12548905951352624,0.8744067305054979,state_2,0.37876647717475415
2021-06-11,1.0021503006522431e-06,0.000993089704401443,0.9990059081452979,state_2,0.007874347659431354
2021-06-14,2.686585782342398e-06,5.715520562178421e-05,0.9999401582085959,state_2,0.0006526929832598899
2021-06-15,1.8658811426779647e-06,4.808637008181667e-05,0.9999500477487755,state_2,0.0005526645931663565
2021-06-16,2.609511094272716e-05,0.0001849483579032501,0.9997889565311538,state_2,0.002076134191690745
2021-06-17,0.002255648834833031,0.0016873758743708685,0.9960569752907961,state_2,0.02845506860967565
2021-06-18,0.9949542117934044,0.005002811752745807,4.297645385065618e-05,state_0,0.03196883074853233
2021-06-21,0.11289022882699382,0.15117126874014086,0.7359385024328654,state_2,0.7575112670297806
2021-06-22,3.330195678564789e-05,0.0015401534642264514,0.9984265445789878,state_2,0.01188939511468589
2021-06-23,5.565144374061862e-07,5.523542754051873e-05,0.9999442080580221,state_2,0.0006053280085995587
2021-06-24,1.0573617420874118e-06,6.738934327447372e-05,0.9999315532949834,state_2,0.0007302696153229379
2021-06-25,0.9991289329365405,0.0008702685037340065,7.985597246964001e-07,state_0,0.007014428413683293
2021-06-28,0.009876326993088482,0.02362490312594946,0.966498769880962,state_2,0.1670247475897331
2021-06-29,1.6064379450012075e-06,0.00018966875449519488,0.9998087248075598,state_2,0.0018381942922817232
2021-06-30,3.47735008944978e-06,0.0001183971364828785,0.9998781255134276,state_2,0.001236058393976915
2021-07-01,8.868065809319009e-07,6.095554798868645e-05,0.9999381576454304,state_2,0.0006657945421236782
2021-07-02,3.7818608500052274e-07,4.90052766028777e-05,0.9999506165373121,state_2,0.0005412827227668414
2021-07-06,4.397330514703284e-06,0.0001352081952871983,0.9998603944741979,state_2,0.0013983632540569956
