strategy,start_date,end_date,n_days,total_return,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,calmar,risk_aversion,average_weight
lambda=0.5,2021-01-05,2025-12-30,1253,0.2201613397079678,0.03981782929550215,0.1469428570182012,0.2709749225208687,0.34327680992831744,-0.33028850845652835,0.12055469165904348,0.5,0.8760419494333623
lambda=1.0,2021-01-05,2025-12-30,1253,0.2290429278375279,0.04127646550775195,0.12457055567548986,0.3313500954051969,0.43281628768817826,-0.26310116242113235,0.1568843905055914,1.0,0.7867374478616541
lambda=1.5,2021-01-05,2025-12-30,1253,0.22484619973848385,0.040588548914530766,0.1006643528000211,0.4032067736546582,0.5328963057127076,-0.18791271707999335,0.21599681780585642,1.5,0.6715723865545989
lambda=2.0,2021-01-05,2025-12-30,1253,0.215701362177938,0.03908135123146052,0.09052573178100372,0.43171538591927194,0.5610772205363961,-0.15106992570406752,0.2586970970517149,2.0,0.6110201397809294
lambda=3.0,2021-01-05,2025-12-30,1253,0.2082988864514148,0.037852992697440274,0.08222304142766398,0.46036964870414804,0.5745767722644385,-0.11926020005274429,0.3173983666025994,3.0,0.5475819082476687
lambda=5.0,2021-01-05,2025-12-30,1253,0.16559844635649212,0.03067224661853098,0.07611775576225198,0.4029578422455519,0.47302730874056415,-0.10520425048467275,0.29154949992253054,5.0,0.488849852990552
lambda=10.0,2021-01-05,2025-12-30,1253,0.08180713683768714,0.015741494597723855,0.07028670147168942,0.22396120842382009,0.24674040197974473,-0.10087729579774174,0.156045961316067,10.0,0.4235059105535801
