strategy,start_date,end_date,n_days,total_return,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,calmar
Buy and Hold,2021-01-05,2025-12-30,1253,0.8504156409416732,0.12356854886510277,0.16945077469508638,0.7292297665056703,0.9830391321684323,-0.2542509661923038,0.486010144683742
Moving Average 50/200,2021-01-05,2025-12-30,1253,0.3318858433524323,0.057639391895183086,0.12071991419194533,0.47746382426627754,0.49850572040862473,-0.19902305409368115,0.2896116339770966
Single-Regime No-Belief,2021-01-05,2025-12-30,1253,0.5512095256446536,0.08815405750168277,0.1208865319967672,0.7292297665056702,0.9830391321684322,-0.18883842636121728,0.466822665282427
Original Bayesian (base),2021-01-05,2025-12-30,1253,0.21570136217715752,0.03908135123133142,0.09052573178098076,0.43171538591795533,0.5610772205345878,-0.15106992570413058,0.2586970970507524
Enhanced Bayesian Agent,2021-01-05,2025-12-30,1253,0.7059408203023889,0.10883954226301278,0.14108691701061896,0.7714361088124205,0.9866311394665501,-0.20559403982836943,0.5293905521476808
