target_coverage,actual_coverage,n_days,calibration_error
0.5,0.5746209098164405,1253,0.07462090981644054
0.75,0.7885075818036712,1253,0.0385075818036712
0.9,0.9154030327214685,1253,0.01540303272146848
0.95,0.9608938547486033,1253,0.010893854748603382
