strategy,start_date,end_date,n_days,total_return,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,calmar,fixed_weight,risk_aversion,average_weight,min_weight,max_weight
Buy and Hold,2021-01-05,2025-12-30,1253,0.8504156409416732,0.1235685488651027,0.1694507746950863,0.7292297665056703,0.9830391321684324,-0.2542509661923038,0.486010144683742,,,,,
Moving Average Crossover 50/200,2021-01-05,2025-12-30,1253,0.3318858433524323,0.057639391895183,0.1207199141919453,0.4774638242662775,0.4985057204086247,-0.1990230540936811,0.2896116339770966,,,,,
Single-Regime No-Belief,2021-01-05,2025-12-30,1253,0.5512095256446536,0.0881540575016827,0.1208865319967672,0.7292297665056702,0.9830391321684322,-0.1888384263612172,0.466822665282427,0.7134020615384805,,,,
Bayesian Belief-State,2021-01-05,2025-12-30,1253,0.215701362177938,0.0390813512314605,0.0905257317810037,0.4317153859192719,0.5610772205363961,-0.1510699257040675,0.2586970970517149,,2.0,0.6110201397809294,0.0,1.0
