discrete_state_0_prob,discrete_state_1_prob,discrete_state_2_prob
0.09181515724943572,0.3094210073472141,0.5987638354033503
0.148305488360845,0.4744485993266142,0.37724591231254095
0.05992357913781992,0.40710769379183975,0.5329687270703404
0.09710279602202196,0.5821661174038356,0.32073108657414257
0.041265136687747804,0.4968421553435705,0.4618927079686817
0.08521315941671213,0.6553437965446474,0.25944304403864044
0.02462164871462617,0.5298658543580511,0.44551249692732275
0.01210097208795744,0.41183278549401764,0.5760662424180248
0.004213663969223733,0.21218289996803483,0.7836034360627415
0.02500616656364887,0.3878354947106384,0.5871583387257128
0.04975216238140196,0.5801324781665197,0.37011535945207835
0.07501394821893503,0.7245240351063913,0.20046201667467364
0.023125791705251718,0.6089762585575521,0.36789794973719614
0.008234883136478658,0.37566981914063224,0.6160952977228891
0.005349595003736469,0.27042862994974626,0.7242217750465172
0.0022926114434754607,0.1255748732905672,0.8721325152659573
0.020742507731995843,0.26017729145970825,0.7190802008082959
0.047030079214510884,0.4447922737904237,0.5081776469950655
0.09731009318834027,0.6088918572917212,0.29379804951993843
0.12711848115803145,0.7202170135316853,0.1526645053102833
0.1486247015783158,0.7737634373353034,0.07761186108638088
0.049499497736500045,0.7549007061367838,0.19559979612671616
0.06809048896224361,0.8327974007573377,0.09911211028041875
0.034490055893834616,0.7820495583149657,0.1834603857911996
0.051327910994766746,0.8557507542048162,0.09292133480041705
0.021677557673788577,0.7253542001710527,0.2529682421551587
0.00828676030126687,0.5679681248651248,0.42374511483360844
0.004018283447577955,0.3923197154427875,0.6036620011096345
0.004037001197998042,0.28300197427385587,0.712961024528146
0.002098878323078705,0.16598254807275778,0.8319185736041635
0.0014474834528676634,0.09312067870632272,0.9054318378408096
0.0011382118878301285,0.04050756663222114,0.9583542214799488
0.0009786955782603698,0.018969270531860552,0.9800520338898792
0.017120979640076656,0.06152846459321944,0.9213505557667039
0.003730949637726281,0.03673322230724112,0.9595358280550326
0.01952103964417767,0.09870343653205728,0.881775523823765
0.0636919055540431,0.21094830448693155,0.7253597899590254
0.1465983399941311,0.35874511681459265,0.4946565431912764
0.20984946033407273,0.5035957980907473,0.28655474157518
0.30240520858119224,0.5602453851436189,0.1373494062751889
0.3801591956212892,0.5552915835799687,0.06454922079874213
0.44382335048742594,0.5213743142704488,0.03480233524212522
0.43660559251063563,0.5366894022078967,0.026705005281467603
0.4885455206715441,0.4906062138246425,0.020848265503813516
0.47321615626540586,0.5053653231204931,0.02141852061410113
0.2567438752483954,0.6403378044081405,0.10291832034346404
0.2739278302209117,0.6713257972407207,0.05474637253836747
0.09597509872058538,0.7309944850007773,0.17303041627863736
0.044666950854237275,0.6696863962318009,0.2856466529139619
0.014964094256793549,0.4523068325612048,0.5327290731820015
0.008078875891705377,0.33739376229274487,0.6545273618155497
0.03207363167383091,0.5343633832529806,0.4335629850731886
0.009236306141595749,0.37179759633603,0.6189660975223742
0.026748116078442772,0.5719157595160477,0.4013361244055096
0.059541738334133426,0.7220564099925032,0.21840185167336343
0.0998811622620111,0.7918517434764091,0.10826709426157971
0.04829748851060493,0.7520963400907978,0.1996061713985972
0.06690469193388894,0.8319084108229993,0.10118689724311175
0.02675461638404125,0.7029403221047464,0.27030506151121225
0.010324987106673013,0.47849005667380473,0.5111849562195224
0.0066379029055657615,0.3591261140106426,0.6342359830837915
0.022883755502111986,0.5604127572672705,0.41670348723061756
0.04265846572513927,0.7246968442289077,0.23264469004595317
0.015411386332477885,0.51734470837634,0.46724390529118215
0.005352377491539066,0.3491035069908121,0.6455441155176489
0.004271797645460331,0.24824434550072916,0.7474838568538106
0.01962884486405794,0.43611341853283675,0.5442577366031053
0.005819852160652554,0.28185050643849596,0.7123296414008515
0.00411168195211138,0.19617093018569443,0.7997173878621943
0.0018436680556671615,0.0874276197481676,0.9107287121961652
0.015401072844220886,0.19535698987447347,0.7892419372813056
0.006678997081081391,0.13461531986587646,0.8587056830530421
0.031484487977960864,0.27330832106442554,0.6952071909576135
0.08003396752024336,0.44933839146435195,0.4706276410154047
0.11969374797653935,0.6099282786809814,0.2703779733424792
0.18459516626465483,0.6823146467873488,0.13309018694799635
0.20592734325291734,0.7257036964929319,0.06836896025415087
0.06965808236341903,0.7424145427263614,0.18792737491021955
0.021905568972005168,0.6281922896839383,0.3499021413440565
0.008115126189576391,0.3939799579808537,0.59790491582957
0.005406314405803868,0.28549238244085073,0.7091013031533454
0.02713166611185816,0.4788187397227477,0.49404959416539407
0.012553940961218157,0.36519452853678114,0.6222515305020008
0.040317917704510105,0.5596935634081811,0.3999885188873088
0.01140737021087623,0.3998014510019967,0.588791178787127
0.029680160937276323,0.5979545221163469,0.37236531694637676
0.050243753457840386,0.7474426594196402,0.2023135871225195
0.08654597931898922,0.8131066921429738,0.10034732853803709
0.12794250189080902,0.8207374556558916,0.051320042453299325
0.17381082074170948,0.7959650710526713,0.030224108205619157
0.18441281444137927,0.79265750419442,0.022929681364200757
0.19384840481869062,0.786159299362724,0.019992295818585304
0.08211105083374948,0.7974549121345058,0.12043403703174477
0.12369138732291957,0.8159574581001922,0.06035115457688823
0.049600056066812864,0.7502189705044896,0.20018097342869762
0.06835560815083379,0.8301628162423027,0.1014815756068634
0.027243352383899834,0.701700833762487,0.27105581385361305
0.04505089739890707,0.8147523315033149,0.14019677109777792
0.01822860947851808,0.6483160659631126,0.33345532455836935
0.006817262891079874,0.47825654525490885,0.5149261918540112
0.0033098341425655082,0.3120177540340705,0.6846724118233639
0.0020445896991323244,0.1853295876341906,0.812625822666677
0.0014832945398944623,0.10447407127549459,0.8940426341846109
0.0012050830536608113,0.05843088362815548,0.9403640333181837
0.0010257361967136263,0.026145142827312923,0.9728291209759735
0.01355716301694275,0.07670491417247971,0.9097379228105775
0.003071249692273827,0.03443765955722798,0.9624910907504981
0.001320515072920077,0.021673172226472616,0.9770063127006072
0.0009696349117153709,0.011609246656451118,0.9874211184318336
0.0016394902773465576,0.012373544052339107,0.9859869656703143
0.001043319793601932,0.010486419049153635,0.9884702611572445
0.0009436418857039295,0.009515738998140982,0.9895406191161551
0.0008875874044773674,0.006925188549970504,0.992187224045552
0.016812390073406677,0.035452898712691444,0.9477347112139017
0.0035924671267622884,0.02309946719968764,0.9733080656735501
0.024537256351727387,0.07043146531566695,0.9050312783326055
0.061647601025618726,0.163319886409713,0.7750325125646683
0.02106384246110957,0.11871346944457456,0.8602226880943159
0.004492716696623602,0.05313257151254845,0.942374711790828
0.0027849661194732345,0.03835062838188973,0.958864405498637
0.0022427965721677767,0.028962412443497707,0.9687947909843345
0.002056562596352706,0.02310366785457791,0.9748397695490694
0.0011320006733196058,0.015876690597259168,0.9829913087294212
0.0009682243541732174,0.012202749834401973,0.9868290258114248
0.0016409545980686656,0.012734974342807268,0.985624071059124
0.014917409930888201,0.04825036856050525,0.9368322215086066
0.0031956109210585933,0.022814211157454772,0.9739901779214866
0.002307076002396641,0.019384306008456396,0.978308617989147
0.02091326813569942,0.0625143054018926,0.9165724264624081
0.05483533527474712,0.14893990349416839,0.7962247612310844
0.01871384688182785,0.10756135807783443,0.8737247950403377
0.004045719696920336,0.04801916474505872,0.9479351155580209
0.0015098051073896435,0.028699622513106343,0.9697905723795041
0.0010131750704460126,0.014347946422738912,0.9846388785068151
0.017203823752157867,0.05163005139639477,0.9311661248514473
0.06028684151220815,0.12717882244270307,0.8125343360450887
0.12187649653117918,0.25375293669086435,0.6243705667779565
0.19563777801345514,0.404609945670418,0.39975227631612686
0.07804250586453142,0.3552682590500154,0.5666892350854531
0.12523469008271812,0.5258524207495576,0.3489128891677242
0.05165430771833233,0.45029093306648166,0.49805475921518594
0.10436387898893179,0.6103713860570605,0.2852647349540076
0.029083792656140958,0.489960464911219,0.48095574243264005
0.01335325857614876,0.37609761509143336,0.6105491263324179
0.0416217432651242,0.5698673800396477,0.3885108766952282
0.012525043746154298,0.347812374370021,0.6396625818838247
0.03205906048393124,0.5461238697366394,0.4218170697794293
0.009811459012507033,0.3220554529192839,0.668133088068209
0.005585031749796484,0.2279128337751831,0.7665021344750205
0.0022278286230199905,0.1308974522879943,0.8668747190889857
0.0013526974776759048,0.05693635961497134,0.9417109429073528
0.0010849255158686226,0.033121638021493156,0.9657934364626382
0.0009939055700070025,0.020875979431895973,0.9781301149980971
0.0016755490516627283,0.01803810996130861,0.9802863409870286
0.001060234792084784,0.013313835624493592,0.9856259295834217
0.0016704515069714157,0.013418397787714682,0.9849111507053139
0.019093667562243143,0.049693782385452134,0.9312125500523047
0.06522231755855475,0.12340204042899965,0.8113756420124457
0.012695316306036115,0.07590971866856407,0.9113949650253999
0.03775087185276086,0.17380769884677874,0.7884414293004605
0.07953064175649549,0.32658976383859717,0.5938795944049073
0.017740085236762567,0.2141081664143907,0.7681517483488467
0.007511451444448841,0.14838357856162618,0.8441049699939249
0.03329505133252466,0.2945340324575094,0.6721709162099658
0.06559801381594992,0.4800491514493754,0.45435283473467475
0.02668941418090556,0.38013856633849125,0.5931720194806033
0.007070671902229648,0.19489456050961024,0.79803476758816
0.0024013543999425262,0.11089971535447195,0.8866989302455855
0.0023834137646009754,0.07530071961298818,0.9223158666224109
0.0012938789932954945,0.04283614502359339,0.9558699759831112
0.0010078996353428933,0.019900383609721163,0.9790917167549359
0.0009175856776872988,0.01091003256542952,0.9881723817568832
0.0008862390868636537,0.007455814390633139,0.9916579465225032
0.016810598440792097,0.03661890182957412,0.9465704997296338
0.006280241570558487,0.028974270245611528,0.96474548818383
0.0319678834063953,0.08272681451246787,0.8853053020811368
0.07528140439599272,0.18471306568190582,0.7400055299221016
0.01497714094603935,0.09036672533810686,0.8946561337158538
0.05297350435751261,0.1976485922577253,0.7493779033847622
0.1278053557464786,0.3462454176731301,0.5259492265803913
0.029757086434964507,0.1978283091833514,0.7724146043816841
0.06453584646142503,0.36196659578599244,0.5734975577525825
0.10652032248491138,0.5378487908194894,0.3556308866955991
0.027975650238178284,0.41173697916443847,0.5602873705973833
0.007589870344587533,0.21640783573782385,0.7760022939175886
0.03252109162999334,0.39175826823266485,0.5757206401373419
0.008262208895497612,0.25082383226958305,0.7409139588349194
0.033524411834605514,0.4355486747047806,0.5309269134606138
0.06013593150947593,0.6197306883757864,0.3201333801147377
0.1063229979419001,0.7292628313800259,0.16441417067807407
0.12765456478405676,0.7890093078204723,0.08333612739547092
0.0618001799714077,0.7708238394420694,0.16737598058652287
0.0803783547204027,0.8348113140869847,0.08481033119261261
0.032172577186657426,0.7257082762816379,0.2421191465317047
0.06302670031378578,0.8150976517957185,0.12187564789049583
0.024681084286632952,0.6693841332785383,0.30593478243482886
0.013440067247506241,0.5540279060277608,0.43253202672473295
0.030666605530150094,0.7251617583878971,0.2441716360819529
0.04842024603546734,0.8264952655380733,0.1250844884264594
0.025463266119599034,0.7578774245447395,0.2166593093356614
0.042016956727175696,0.8477662859997954,0.11021675727302895
0.022988812952828636,0.7811049116255302,0.19590627542164124
0.013934884570504312,0.6817964224890091,0.30426869294048664
0.006513160206299301,0.445630787820923,0.5478560519727776
0.005140587132983017,0.3288924648787268,0.6659669479882901
0.002445026213050042,0.19738853944582552,0.8001664343411244
0.021022955169596923,0.3684522970235203,0.6105247478068827
0.04445754716116453,0.5631306222179394,0.39241183062089596
0.012440976729071079,0.40522358378642365,0.5823354394845053
0.00417557533595939,0.2552499833377399,0.7405744413263007
0.0034787687228155354,0.1760167258622612,0.8205045054149233
0.0029454720752741517,0.119326177883388,0.8777283500413379
0.0025739239971276245,0.08091581450693168,0.9165102614959406
0.0023284433167300726,0.05584414476427308,0.9418274119189969
0.0012435767247804199,0.03262671183654972,0.9661297114386699
0.0009794314578106368,0.01587071507824268,0.9831498534639468
0.017112059252544227,0.05490275725857276,0.927985183488883
0.003707132336129595,0.03323968324519019,0.9630531844186803
0.019486100140347646,0.0915912531664374,0.8889226466932151
0.004241525566580165,0.0530977473375354,0.9426607270958844
0.0027124580046840223,0.03830761330908922,0.9589799286862267
0.0012218220928275987,0.01818114075638861,0.9805970371507837
0.0017315840141321013,0.016403059962116384,0.9818653560237515
0.0010229577382664442,0.00959545597231878,0.9893815862894147
0.0008999749811225356,0.006958910066921069,0.9921411149519563
0.0009139208747808948,0.0077605143748124255,0.9913255647504067
0.0016117162267938238,0.010029354113770454,0.9883589296594357
0.018920718226799048,0.04234110410465589,0.9387381776685451
0.05169447930224307,0.11057297612739139,0.8377325445703655
0.135136705325899,0.22295751563910463,0.6419057790349965
0.2627750868089199,0.3455716780233388,0.39165323516774125
0.3339770254357326,0.45559458498389804,0.21042838958036927
0.42967181555609646,0.4745607317170509,0.09576745272685261
0.4381098954368769,0.5096677503082933,0.05222235425482979
0.43550240050542693,0.5306978172679376,0.03379978222663548
0.2308244657041377,0.6482956151635069,0.12087991913235556
0.2993665034772847,0.6420794060772329,0.05855409044548247
0.30790045593302606,0.656463041348908,0.0356365027180658
0.36652641836420224,0.6095002275595606,0.023973354076237095
0.4220499777028939,0.55822047471826,0.019729547578846207
0.41358055101134383,0.5659329366990211,0.02048651228963512
0.4658424244943633,0.5155800076415089,0.018577567864127776
0.5131567980040377,0.4688093932233544,0.018033808772608035
0.554810774372939,0.42722190661103426,0.01796731901602683
0.5306709721116517,0.44856911600460125,0.020759911883746908
0.5103342206713508,0.4679790132663288,0.02168676606232028
0.281028298695694,0.6120272226647945,0.10694447863951147
0.2983390817306044,0.6450273215311192,0.05663359673827654
0.12172640294790373,0.6605289421417142,0.21774465491038203
0.035715134611176674,0.5636412551596545,0.4006436102291688
0.010931714931958653,0.33930724026345865,0.6497610448045826
0.0036245905477393166,0.1657770227365709,0.8305983867156898
0.0029499674851309068,0.11229274017233812,0.884757292342531
0.0014708088604035664,0.06285628261042503,0.9356729085291714
0.01859884424288237,0.1498271777209402,0.8315739780361774
0.00420465965660508,0.06702477925059722,0.9287705610927977
0.0015243984984560702,0.029826485494752857,0.968649116006791
0.0010177294942944792,0.01478865423949679,0.9841936162662087
0.013507818073883923,0.05259910892268108,0.9338930730034349
0.005395330572797946,0.038774182752527135,0.955830486674675
0.029398275885783032,0.10258157466106971,0.8680201494531473
0.0060167856600334855,0.06011565705185842,0.933867557288108
0.03079976582675192,0.14414980267816957,0.8250504314950785
0.08684329832546969,0.2799748007592107,0.6331819009153197
0.17794403621964502,0.4281490318024156,0.39390693197793936
0.28012729470842535,0.5197410662146023,0.20013163907697248
0.1270117249180072,0.5236404040994647,0.3493478709825283
0.20360191174576273,0.619235364647501,0.1771627236067363
0.06876631579569449,0.5111515366783025,0.4200821475260031
0.12598850407353213,0.6471027600662332,0.22690873586023458
0.15378141112303664,0.7309844282914805,0.11523416058548297
0.17275953866576213,0.7672361982282412,0.060004263105996714
0.08428444658473791,0.7782146524337649,0.13750090098149736
0.10279688633270158,0.8269225988094635,0.07028051485783493
0.14565103890251166,0.8161437349175267,0.03820522617996173
0.07227223553619364,0.8256313742216753,0.10209639024213098
0.028570685187725212,0.6986707092901394,0.2727586055221354
0.04662444508979434,0.8122158891201409,0.14115966579006478
0.06327417172184582,0.8647480484946141,0.07197777978354011
0.09763863006490489,0.8632285215367772,0.039132848398317925
