metric,strategy,estimate,ci_low,ci_high,n_days,n_bootstrap,seed
sharpe,Buy and Hold,1.3078548306856967,0.14263793537239802,2.4107051131390613,751,5000,5512
sharpe,Moving Average 50/200,0.8588083225946307,-0.3058030220042718,2.0071682478959674,751,5000,5512
sharpe,Single-Regime No-Belief,1.3078548306856965,0.2156427097919261,2.505901276403755,751,5000,5512
sharpe,Enhanced Bear-Defense,1.227376269518553,0.11062024214703177,2.405172918422168,751,5000,5512
sharpe_difference,Enhanced Bear-Defense minus Buy and Hold,-0.08047856116714369,-0.4617229998485011,0.3265128153083762,751,5000,5512
