period,n_days,mean_entropy,median_entropy,std_entropy,mean_normalized_entropy
normal,965,0.1164414769970885,0.011744366086072485,0.2046501848842568,0.10598959996911651
2022 Bear Market (Inflation/Rate Hikes),196,0.09221608788469382,0.0038268188901085264,0.18866957786471408,0.08393870051871617
2023 Regional Banking Crisis,14,0.10807848006516994,0.033447233695547834,0.1690728669828815,0.09837727210952434
2023 Q3 Correction (Bond Yields Spike),64,0.03948896994128119,0.006566495219736625,0.08379497063109069,0.035944409459642224
2024 August Volatility (Yen Carry Unwind),15,0.20820484401068892,0.015614554422857564,0.28009488156929313,0.18951621619225084
