strategy,start_date,end_date,n_days,total_return,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,calmar,method,average_weight
Standard (no entropy scaling),2021-01-05,2025-12-30,1253,0.215701362177938,0.03908135123146052,0.09052573178100372,0.43171538591927194,0.5610772205363961,-0.15106992570406752,0.2586970970517149,standard,0.6110201397809294
Entropy-scaled (penalty=0.5),2021-01-05,2025-12-30,1253,0.15284338470874514,0.028469227711468804,0.08707240338430569,0.32696039852967035,0.4168985073651539,-0.15062388146934313,0.1890087244715123,entropy_penalty_0.5,0.5830056633591729
Entropy-scaled (penalty=1.0),2021-01-05,2025-12-30,1253,0.10571661385839981,0.02011908671335296,0.08500409217188405,0.23668374309169496,0.297071747021322,-0.14999855915630989,0.13412853314402404,entropy_penalty_1.0,0.5619458509392691
Entropy-scaled (penalty=2.0),2021-01-05,2025-12-30,1253,0.03982790173111761,0.007812664424186967,0.08260612372446743,0.09457730337578964,0.1165737540350417,-0.1486672482513398,0.05255134884166768,entropy_penalty_2.0,0.5326775677716874
Entropy-scaled (penalty=3.0),2021-01-05,2025-12-30,1253,0.0026967893443035074,0.0005224362503353255,0.08112617494023179,0.006439798877738545,0.007853599296734843,-0.15372667614012792,0.0033984749000824316,entropy_penalty_3.0,0.5131706924809308
